"gender","race.ethnicity","parental.level.of.education","lunch","test.preparation.course","total.score"
"male","group E","some college","standard","none",219
"female","group D","master's degree","standard","none",235
"female","group B","associate's degree","standard","completed",273
"male","group C","some college","free/reduced","none",178
"female","group E","associate's degree","standard","completed",276
"female","group D","master's degree","free/reduced","none",153
"female","group B","some high school","standard","none",244
"male","group A","high school","standard","none",204
"male","group B","bachelor's degree","free/reduced","none",168
"male","group C","master's degree","standard","none",234
"female","group C","bachelor's degree","standard","none",265
"male","group D","some college","standard","none",220
"male","group A","some high school","standard","none",157
"male","group D","some high school","free/reduced","none",163
"female","group B","some high school","standard","completed",177
"female","group B","master's degree","free/reduced","completed",268
"female","group C","some high school","standard","completed",248
"female","group D","some college","standard","none",247
"female","group E","some college","standard","completed",213
"female","group D","some high school","standard","completed",222
"female","group B","high school","free/reduced","completed",224
"male","group D","some college","standard","none",172
"female","group C","associate's degree","standard","none",261
"male","group D","bachelor's degree","standard","none",184
"male","group C","master's degree","free/reduced","none",163
"male","group C","high school","standard","completed",154
"male","group E","some college","standard","none",187
"male","group C","some high school","free/reduced","completed",177
"female","group C","high school","free/reduced","none",132
"female","group D","bachelor's degree","free/reduced","none",117
"female","group C","associate's degree","standard","none",206
"female","group C","associate's degree","standard","completed",208
"female","group C","some high school","standard","none",154
"male","group E","associate's degree","standard","completed",181
"female","group E","associate's degree","standard","completed",261
"male","group B","high school","standard","completed",210
"female","group C","bachelor's degree","free/reduced","completed",232
"male","group C","associate's degree","standard","completed",169
"female","group D","high school","standard","none",179
"male","group E","bachelor's degree","standard","completed",222
"male","group A","associate's degree","standard","completed",275
"male","group C","high school","standard","completed",212
"male","group D","associate's degree","free/reduced","completed",241
"female","group C","associate's degree","standard","none",237
"female","group D","associate's degree","standard","none",266
"female","group D","master's degree","standard","none",193
"male","group E","some high school","free/reduced","completed",241
"female","group A","some high school","standard","completed",289
"male","group C","high school","standard","completed",203
"female","group C","high school","free/reduced","none",193
"male","group C","master's degree","standard","none",220
"male","group C","some high school","free/reduced","none",220
"male","group B","bachelor's degree","free/reduced","completed",265
"female","group B","associate's degree","standard","none",138
"male","group D","some college","free/reduced","none",203
"male","group E","associate's degree","standard","none",138
"female","group C","some college","free/reduced","none",104
"female","group C","associate's degree","standard","completed",206
"male","group C","master's degree","free/reduced","none",194
"female","group B","associate's degree","free/reduced","none",193
"male","group D","some high school","standard","none",201
"female","group D","some college","standard","completed",228
"female","group C","some college","standard","none",211
"male","group C","bachelor's degree","standard","completed",278
"female","group D","some college","free/reduced","completed",223
"male","group B","bachelor's degree","free/reduced","none",145
"male","group B","associate's degree","standard","none",136
"female","group E","bachelor's degree","free/reduced","completed",292
"female","group D","master's degree","free/reduced","completed",210
"male","group B","high school","free/reduced","none",158
"male","group D","bachelor's degree","free/reduced","none",203
"male","group B","some college","standard","completed",216
"male","group A","bachelor's degree","standard","none",279
"female","group C","some college","standard","none",171
"female","group C","high school","free/reduced","completed",180
"female","group E","high school","standard","none",226
"male","group A","associate's degree","free/reduced","completed",148
"male","group A","some college","standard","completed",164
"female","group B","high school","standard","none",261
"female","group B","some college","free/reduced","completed",162
"female","group D","master's degree","standard","none",182
"female","group D","some high school","standard","none",274
"female","group E","some high school","standard","none",236
"female","group D","bachelor's degree","free/reduced","none",214
"female","group D","associate's degree","standard","completed",228
"female","group D","some college","standard","none",223
"female","group C","associate's degree","standard","none",217
"female","group A","high school","standard","none",201
"female","group C","bachelor's degree","free/reduced","none",169
"female","group C","some college","standard","none",183
"female","group A","some high school","standard","none",179
"male","group C","some college","free/reduced","none",169
"male","group A","some high school","standard","none",183
"male","group E","bachelor's degree","standard","none",200
"female","group E","high school","standard","none",223
"female","group C","bachelor's degree","standard","completed",291
"female","group C","bachelor's degree","standard","completed",207
"male","group B","high school","free/reduced","none",69
"male","group A","some high school","standard","none",155
"female","group D","high school","standard","none",219
"female","group D","some high school","standard","none",228
"female","group D","master's degree","standard","none",177
"female","group C","high school","standard","none",88
"female","group E","some college","standard","none",234
"male","group D","high school","free/reduced","none",168
"male","group D","master's degree","free/reduced","completed",263
"male","group C","some high school","standard","none",209
"female","group C","associate's degree","standard","none",251
"female","group C","master's degree","free/reduced","none",152
"female","group E","some college","standard","none",187
"female","group B","associate's degree","standard","none",186
"male","group D","some college","free/reduced","completed",192
"female","group C","some college","standard","none",183
"male","group C","bachelor's degree","standard","completed",275
"female","group C","associate's degree","standard","none",216
"female","group A","associate's degree","standard","none",268
"female","group C","high school","standard","none",200
"female","group E","bachelor's degree","standard","none",120
"male","group D","bachelor's degree","standard","none",249
"male","group D","master's degree","standard","none",260
"male","group C","associate's degree","free/reduced","completed",206
"female","group C","high school","free/reduced","none",150
"male","group B","bachelor's degree","free/reduced","none",181
"male","group C","high school","free/reduced","completed",161
"male","group A","some college","standard","completed",282
"female","group E","bachelor's degree","free/reduced","none",181
"male","group D","some college","standard","completed",296
"male","group B","associate's degree","free/reduced","completed",202
"male","group D","associate's degree","standard","none",155
"male","group D","some college","free/reduced","none",152
"female","group C","some high school","standard","completed",150
"male","group D","some college","standard","none",201
"male","group B","high school","standard","none",204
"female","group B","bachelor's degree","standard","completed",221
"female","group C","high school","standard","none",248
"male","group D","some high school","standard","none",248
"male","group A","high school","standard","none",209
"female","group B","high school","free/reduced","completed",228
"female","group D","some high school","standard","completed",260
"male","group E","some college","standard","none",236
"female","group D","associate's degree","standard","none",223
"male","group D","high school","standard","none",144
"female","group D","associate's degree","free/reduced","completed",252
"female","group B","some high school","free/reduced","none",232
"female","group E","high school","standard","completed",233
"male","group B","high school","standard","none",195
"female","group B","bachelor's degree","standard","completed",227
"female","group D","associate's degree","standard","none",194
"female","group E","high school","free/reduced","none",194
"female","group B","high school","standard","none",158
"female","group D","some college","standard","completed",229
"male","group C","some high school","free/reduced","completed",160
"female","group A","high school","standard","completed",224
"female","group D","some college","standard","completed",269
"female","group A","associate's degree","standard","completed",209
"female","group B","some high school","standard","none",231
"female","group B","some college","standard","none",196
"male","group C","associate's degree","free/reduced","none",208
"male","group D","some high school","standard","none",196
"female","group D","associate's degree","free/reduced","none",161
"male","group D","associate's degree","standard","none",262
"male","group C","some college","free/reduced","none",224
"male","group C","some high school","standard","none",202
"female","group D","some college","free/reduced","none",195
"female","group C","high school","standard","none",201
"male","group D","associate's degree","standard","none",206
"female","group C","some high school","free/reduced","completed",170
"female","group C","some college","free/reduced","completed",207
"female","group B","bachelor's degree","free/reduced","none",249
"male","group C","some college","standard","none",208
"male","group D","associate's degree","standard","completed",230
"female","group C","high school","free/reduced","none",210
"male","group D","associate's degree","free/reduced","none",159
"female","group C","some college","standard","none",223
"female","group C","associate's degree","standard","completed",233
"female","group D","high school","standard","completed",224
"female","group B","some college","standard","completed",180
"female","group E","some college","standard","completed",227
"female","group C","some high school","standard","completed",228
"male","group D","associate's degree","free/reduced","none",234
"male","group D","some college","free/reduced","none",184
"female","group D","high school","standard","none",213
"male","group B","high school","standard","none",188
"male","group B","high school","standard","none",171
"female","group C","some high school","free/reduced","completed",113
"male","group B","some college","standard","completed",196
"female","group E","master's degree","standard","completed",293
"male","group E","some college","standard","completed",228
"male","group D","associate's degree","free/reduced","none",228
"male","group A","high school","free/reduced","none",155
"male","group E","some college","free/reduced","none",266
"female","group C","associate's degree","standard","none",155
"female","group E","associate's degree","free/reduced","none",227
"female","group C","bachelor's degree","free/reduced","completed",221
"female","group D","associate's degree","standard","none",227
"female","group C","some high school","standard","none",168
"female","group D","some college","free/reduced","none",254
"female","group C","associate's degree","standard","completed",247
"female","group A","bachelor's degree","standard","none",201
"female","group D","associate's degree","standard","completed",214
"male","group C","high school","free/reduced","none",191
"female","group E","bachelor's degree","standard","completed",242
"female","group B","some high school","standard","none",196
"male","group A","bachelor's degree","standard","completed",258
"female","group D","some college","standard","none",194
"female","group B","some high school","free/reduced","completed",186
"male","group A","bachelor's degree","free/reduced","none",199
"male","group D","high school","standard","none",116
"male","group C","some college","standard","none",177
"male","group D","high school","standard","none",255
"female","group D","associate's degree","free/reduced","completed",161
"male","group C","some college","standard","completed",267
"female","group E","some high school","standard","completed",250
"female","group D","some college","standard","none",297
"male","group D","master's degree","standard","none",246
"female","group B","some high school","standard","completed",204
"female","group B","associate's degree","free/reduced","completed",257
"male","group C","associate's degree","standard","completed",223
"female","group C","associate's degree","standard","completed",291
"female","group C","high school","standard","none",226
"male","group E","associate's degree","free/reduced","completed",244
"female","group C","some college","free/reduced","none",204
"male","group D","some high school","free/reduced","completed",173
"female","group B","some high school","free/reduced","completed",252
"male","group C","high school","standard","none",140
"male","group B","some college","standard","none",131
"male","group E","some college","standard","completed",226
"female","group E","associate's degree","standard","completed",217
"male","group E","some high school","standard","completed",176
"female","group D","high school","free/reduced","none",249
"male","group C","some college","standard","none",129
"female","group B","associate's degree","free/reduced","completed",225
"male","group A","some high school","free/reduced","none",144
"female","group C","some college","standard","completed",270
"male","group D","some high school","standard","none",146
"female","group E","some college","free/reduced","none",168
"male","group C","master's degree","standard","none",183
"male","group C","associate's degree","standard","none",255
"female","group B","some college","free/reduced","completed",192
"male","group D","associate's degree","standard","none",225
"male","group C","high school","free/reduced","none",176
"male","group D","bachelor's degree","standard","none",225
"female","group A","associate's degree","free/reduced","none",150
"female","group C","high school","standard","none",247
"female","group C","associate's degree","standard","completed",204
"male","group B","some college","free/reduced","none",157
"male","group D","associate's degree","standard","none",225
"male","group D","high school","standard","none",215
"male","group C","some college","standard","none",201
"female","group C","bachelor's degree","free/reduced","none",169
"male","group B","some college","standard","completed",257
"male","group D","some high school","standard","completed",208
"male","group E","some college","standard","none",205
"male","group C","master's degree","free/reduced","completed",231
"female","group C","some high school","standard","completed",252
"male","group C","associate's degree","free/reduced","none",166
"female","group E","associate's degree","standard","none",271
"male","group D","some college","standard","none",165
"male","group E","bachelor's degree","free/reduced","completed",210
"female","group D","some college","free/reduced","completed",176
"male","group B","some college","standard","completed",223
"female","group C","high school","free/reduced","none",189
"female","group D","some high school","standard","none",160
"male","group D","some high school","standard","completed",245
"female","group B","high school","standard","none",187
"male","group D","some college","standard","none",182
"female","group B","high school","standard","none",218
"female","group C","high school","standard","completed",210
"male","group B","high school","standard","completed",198
"female","group D","some high school","standard","none",214
"male","group A","some college","free/reduced","none",175
"male","group B","high school","standard","none",149
"male","group D","bachelor's degree","standard","none",222
"female","group B","some high school","free/reduced","completed",191
"female","group C","bachelor's degree","free/reduced","none",219
"male","group B","some college","standard","none",191
"female","group B","some high school","free/reduced","none",162
"female","group B","high school","standard","none",208
"female","group C","some college","free/reduced","none",122
"female","group A","some college","standard","completed",233
"male","group E","associate's degree","standard","completed",261
"female","group D","associate's degree","free/reduced","none",159
"female","group B","master's degree","standard","none",251
"female","group B","high school","free/reduced","completed",243
"female","group C","associate's degree","standard","completed",173
"male","group C","bachelor's degree","standard","completed",251
"female","group B","some high school","standard","completed",127
"female","group E","some high school","free/reduced","none",228
"female","group B","some college","standard","none",89
"male","group C","associate's degree","free/reduced","none",194
"female","group C","master's degree","free/reduced","none",178
"female","group B","high school","standard","none",170
"female","group D","some college","free/reduced","none",196
"male","group D","high school","free/reduced","none",209
"male","group E","some high school","standard","completed",250
"female","group B","high school","standard","none",145
"female","group E","associate's degree","free/reduced","completed",198
"male","group D","high school","standard","none",210
"female","group E","associate's degree","free/reduced","none",235
"male","group E","some college","standard","none",183
"female","group C","associate's degree","standard","none",164
"male","group C","some high school","standard","completed",208
"male","group C","some high school","standard","completed",229
"female","group E","associate's degree","standard","none",276
"female","group B","some college","standard","none",254
"female","group C","some college","standard","none",227
"male","group A","some college","free/reduced","none",230
"female","group D","some college","free/reduced","none",213
"female","group E","high school","free/reduced","none",126
"male","group C","high school","standard","none",234
"male","group B","bachelor's degree","standard","none",164
"male","group A","some high school","standard","none",118
"male","group A","high school","free/reduced","none",141
"female","group C","master's degree","standard","completed",185
"male","group E","some high school","standard","completed",247
"female","group C","high school","standard","none",235
"male","group B","some high school","standard","completed",267
"female","group A","bachelor's degree","standard","none",168
"male","group D","bachelor's degree","free/reduced","completed",207
"female","group B","high school","free/reduced","none",200
"female","group C","some high school","standard","none",256
"female","group A","some high school","standard","completed",267
"female","group D","bachelor's degree","free/reduced","none",261
"male","group E","some college","free/reduced","completed",152
"female","group B","high school","free/reduced","none",240
"female","group C","some high school","free/reduced","none",158
"male","group C","high school","standard","none",187
"female","group C","associate's degree","free/reduced","completed",194
"female","group C","some high school","standard","none",210
"female","group D","some high school","free/reduced","completed",236
"male","group B","some high school","standard","none",175
"female","group A","some college","free/reduced","none",178
"female","group C","bachelor's degree","free/reduced","completed",249
"male","group A","bachelor's degree","standard","none",182
"female","group B","high school","standard","completed",248
"male","group B","some college","standard","none",153
"female","group C","high school","standard","completed",198
"male","group E","high school","standard","none",194
"female","group A","high school","standard","completed",236
"male","group B","associate's degree","free/reduced","completed",168
"female","group C","associate's degree","standard","none",216
"female","group D","high school","free/reduced","none",137
"male","group C","some high school","standard","none",173
"female","group B","high school","free/reduced","completed",103
"male","group B","some college","free/reduced","completed",227
"female","group D","some high school","free/reduced","completed",169
"male","group E","master's degree","standard","none",259
"male","group C","master's degree","standard","completed",261
"male","group D","high school","standard","none",168
"female","group C","high school","standard","none",199
"male","group D","associate's degree","standard","none",224
"male","group C","master's degree","standard","none",205
"female","group A","high school","standard","none",192
"female","group E","some college","standard","none",265
"male","group E","some high school","standard","none",210
"male","group C","some high school","standard","none",181
"female","group B","bachelor's degree","standard","none",290
"male","group B","some college","free/reduced","none",208
"female","group C","bachelor's degree","standard","none",225
"male","group B","high school","standard","completed",147
"male","group C","associate's degree","free/reduced","none",232
"female","group C","associate's degree","standard","none",168
"female","group E","master's degree","free/reduced","none",254
"male","group D","bachelor's degree","free/reduced","completed",119
"female","group C","some college","standard","completed",222
"male","group C","associate's degree","standard","none",281
"male","group D","some college","standard","completed",252
"male","group C","high school","free/reduced","none",164
"male","group B","associate's degree","standard","none",144
"male","group E","associate's degree","free/reduced","completed",224
"male","group C","associate's degree","free/reduced","none",151
"male","group B","high school","standard","none",164
"female","group C","some college","standard","completed",218
"male","group B","associate's degree","standard","completed",244
"male","group E","associate's degree","free/reduced","none",262
"female","group C","bachelor's degree","free/reduced","none",166
"male","group C","some college","free/reduced","none",210
"male","group D","some college","standard","none",247
"male","group C","some high school","standard","none",172
"female","group D","some high school","standard","none",211
"female","group D","associate's degree","standard","none",214
"male","group C","bachelor's degree","standard","completed",193
"female","group E","bachelor's degree","standard","completed",211
"female","group B","high school","free/reduced","none",208
"male","group D","bachelor's degree","free/reduced","none",145
"female","group E","associate's degree","standard","none",156
"female","group C","associate's degree","standard","completed",218
"female","group E","associate's degree","standard","completed",288
"male","group C","high school","free/reduced","none",185
"female","group D","some college","free/reduced","none",208
"male","group D","high school","free/reduced","none",143
"female","group E","some college","standard","completed",262
"female","group E","associate's degree","standard","none",262
"female","group A","master's degree","free/reduced","none",190
"male","group D","some high school","standard","completed",237
"female","group E","associate's degree","standard","none",190
"female","group E","some high school","free/reduced","none",104
"male","group B","high school","free/reduced","none",92
"female","group B","some high school","free/reduced","completed",220
"male","group D","associate's degree","standard","completed",184
"female","group D","some high school","standard","completed",225
"male","group D","master's degree","standard","none",258
"female","group C","master's degree","standard","none",225
"female","group A","high school","free/reduced","completed",123
"female","group D","bachelor's degree","free/reduced","completed",293
"female","group D","some high school","free/reduced","none",235
"male","group D","some college","standard","none",242
"male","group B","high school","standard","none",156
"female","group D","some college","standard","completed",254
"female","group C","bachelor's degree","free/reduced","none",214
"male","group E","bachelor's degree","standard","completed",204
"male","group D","bachelor's degree","free/reduced","none",140
"female","group A","some college","standard","none",235
"female","group C","bachelor's degree","standard","completed",179
"female","group C","bachelor's degree","free/reduced","completed",175
"female","group B","associate's degree","free/reduced","none",162
"female","group E","some college","standard","none",204
"male","group E","bachelor's degree","standard","completed",300
"female","group C","high school","standard","none",157
"female","group C","associate's degree","standard","completed",214
"male","group B","some college","standard","completed",278
"male","group D","high school","free/reduced","none",206
"female","group C","high school","free/reduced","none",134
"male","group D","high school","standard","none",204
"female","group B","associate's degree","free/reduced","none",184
"male","group D","high school","free/reduced","none",213
"male","group E","some high school","standard","completed",198
"male","group E","associate's degree","free/reduced","none",172
"female","group D","high school","free/reduced","completed",197
"male","group E","associate's degree","free/reduced","completed",133
"female","group C","some high school","free/reduced","none",155
"male","group C","some college","free/reduced","completed",211
"male","group D","some college","free/reduced","none",181
"male","group D","associate's degree","free/reduced","completed",205
"male","group C","bachelor's degree","free/reduced","completed",219
"male","group C","associate's degree","standard","completed",275
"male","group D","some college","free/reduced","none",191
"male","group A","associate's degree","standard","none",177
"female","group E","high school","free/reduced","none",172
"male","group D","some college","standard","completed",251
"male","group D","some high school","standard","completed",214
"male","group C","master's degree","free/reduced","completed",210
"female","group D","master's degree","standard","none",265
"male","group C","high school","standard","none",211
"male","group A","some high school","free/reduced","completed",184
"female","group B","high school","standard","none",187
"female","group C","associate's degree","standard","none",173
"male","group B","high school","standard","none",244
"female","group D","some college","free/reduced","none",167
"male","group B","some high school","free/reduced","completed",151
"female","group E","high school","free/reduced","completed",205
"male","group E","high school","standard","none",238
"female","group D","some college","standard","completed",235
"female","group E","some high school","free/reduced","none",220
"male","group C","high school","standard","completed",164
"female","group C","some college","standard","none",200
"male","group E","associate's degree","standard","none",191
"male","group C","some college","standard","none",252
"female","group D","master's degree","standard","none",292
"female","group D","high school","standard","none",167
"male","group C","high school","standard","none",227
"female","group A","some college","standard","none",178
"female","group D","some high school","free/reduced","none",155
"female","group E","associate's degree","standard","none",300
"female","group C","some high school","free/reduced","completed",216
"male","group D","some college","standard","none",187
"female","group D","some college","standard","none",204
"male","group A","some high school","standard","completed",198
"male","group C","some college","standard","none",186
"female","group E","associate's degree","standard","none",211
"female","group B","bachelor's degree","standard","none",239
"female","group D","bachelor's degree","standard","none",289
"male","group C","some high school","standard","completed",219
"female","group A","high school","free/reduced","completed",163
"female","group D","some college","free/reduced","none",175
"female","group A","some college","standard","none",184
"female","group C","some college","standard","completed",223
"male","group B","some college","free/reduced","completed",182
"male","group C","associate's degree","standard","none",185
"male","group D","high school","standard","completed",144
"female","group C","associate's degree","standard","none",280
"female","group B","high school","free/reduced","none",55
"male","group D","some high school","standard","none",237
"male","group B","some high school","standard","completed",250
"female","group A","some college","standard","completed",256
"female","group C","some high school","standard","none",231
"male","group A","high school","standard","none",162
"female","group C","associate's degree","standard","none",150
"male","group E","some high school","standard","completed",232
"female","group A","some high school","free/reduced","none",134
"female","group D","some college","free/reduced","completed",236
"male","group E","high school","free/reduced","completed",242
"female","group B","some high school","standard","completed",225
"female","group D","associate's degree","free/reduced","none",207
"female","group D","bachelor's degree","free/reduced","none",208
"male","group A","high school","standard","none",188
"female","group E","master's degree","standard","completed",282
"male","group C","high school","free/reduced","none",172
"female","group C","high school","free/reduced","completed",195
"female","group D","some college","standard","completed",223
"female","group D","some college","free/reduced","none",249
